Variable,Male_Mean,Male_SD,Male_N,Female_Mean,Female_SD,Female_N
cesd_score,7.461898914511105,5.919156793840225,7465,9.46090203261663,6.681437609885622,8241
age,59.89202947086403,9.575607182547657,7465,58.975003033612424,9.83805057689328,8241
edu_can_read,0.18633623576691224,0.3894038467296297,7465,0.17473607571896616,0.37976424261828917,8241
edu_primary,0.2625586068318821,0.44005400297824804,7465,0.17170246329328964,0.37714451764452284,8241
edu_junior_high_plus,0.42411252511721365,0.49424064351584956,7465,0.24378109452736318,0.4293882221003064,8241
rural,0.6079035498995311,0.48825071235285095,7465,0.5887634995752943,0.49208782220722014,8241
married,0.8731413261888814,0.33283688296515485,7465,0.7863123407353476,0.40993369580420863,8241
widowed,0.011118553248492967,0.10486374055721805,7465,0.00667394733648829,0.08142610332671256,8241
log_pce,8.632334528799914,0.93454454904574,7384,8.590482880168842,0.9517699726126052,8122
poor_childhood_health,,,0,,,0
lower_leg_length,,,0,,,0
chronic_disease,0.6613529805760214,0.47328133463835886,7465,0.697730857905594,0.45926909627848955,8241
adl_limit,0.4345612860013396,0.49573248340009396,7465,0.5908263560247543,0.4917112076341586,8241
